node,X,Z,classe
1347,-18.845491197,-59.910703818,18
1348,-19.164806414,-59.562889997,11
1349,-19.281727673,-59.090142423,14
1350,-19.165933035,-58.617043568,28
1351,-18.846406257,-58.267681726,22
1352,-18.387316846,-58.13644481,12
1353,-17.948087479,-58.267984045,16
1354,-17.627106818,-58.616026804,11
1355,-19.968698439,-62.071527483,22
1356,-20.24685999,-62.412713874,17
1357,-20.638477541,-62.574451333,25
1358,-21.053371136,-62.519415003,28
1359,-21.396169007,-62.26047623,1
1360,-21.58935178,-61.857051708,6
1361,-21.589516953,-61.401494403,4
1362,-21.396532546,-60.997836765,25
1363,-21.053723707,-60.738538328,22
1364,-20.6386021,-60.68325947,10
1365,-20.24706572,-60.844921738,15
1366,-19.968677633,-61.186341629,1
1367,-17.624130234,-63.366166348,20
1368,-17.946503836,-63.718820824,25
1369,-18.379452965,-63.851218475,25
1370,-18.845306442,-63.720820597,12
1371,-19.168528037,-63.365813632,6
1372,-19.281728369,-62.89858275,24
1373,-19.16823657,-62.431433256,25
1374,-18.840620375,-62.074045305,27
1375,-18.386717605,-61.946453064,21
1376,-17.952854645,-62.074998177,10
1377,-17.629862116,-62.420908569,10
1378,-19.968441319,-65.880995265,15
1379,-20.245918995,-66.222006394,27
1380,-20.636824589,-66.384230784,27
1381,-21.051300642,-66.330270579,9
1382,-21.397732315,-66.068537152,3
1383,-21.589786316,-65.665111445,17
1384,-21.589208646,-65.210123903,20
1385,-21.396071688,-64.807266559,14
1386,-21.053602987,-64.548488195,22
1387,-20.639024029,-64.493203953,11
1388,-20.247874521,-64.654315299,28
1389,-19.968426065,-64.996862397,23
8476,-26.345865961,-1.7731936642,9
8477,-26.260172508,-3.165572715,9
