node,X,Y,Z,classe
1022,9.6169224692,1.6222972149,-56.662524686,9
1023,9.3142028487,1.5674543748,-56.318091014,4
1024,9.3145694973,1.5675192418,-59.251202076,4
1025,9.6158844694,1.6221047404,-58.908197042,3
1026,10.048758757,1.7050255248,-58.743941001,1
1027,10.504399789,1.7981013651,-58.801943907,5
1028,10.883481364,1.8801082807,-59.070459105,4
1029,11.087890618,1.9260671211,-59.47485782,4
1030,11.083840962,1.9251448404,-59.921916784,4
1031,10.873308741,1.8778530246,-60.321226496,3
1032,10.500702429,1.797322028,-60.579481177,6
1033,10.04847709,1.7049698294,-60.636025935,1
1034,9.6151019995,1.6219596685,-60.471257552,9
1035,9.3145076771,1.5675083044,-60.128678835,4
1036,9.3128983913,1.5672236219,-63.064435832,9
1037,9.6088624859,1.6208034649,-62.723133405,3
1038,10.034980509,1.7023037496,-62.555658398,6
1039,10.493219924,1.7957460599,-62.607688659,3
1040,10.873316136,1.8778546628,-62.868781861,4
1041,11.083285779,1.9250184388,-63.265882701,3
1042,11.089145865,1.926353092,-63.709654314,1
1043,10.886583315,1.8807965821,-64.115900037,9
1044,10.504109712,1.7980402079,-64.388168537,6
1045,10.043673579,1.704020358,-64.445448933,6
1046,9.6104194321,1.6210918696,-64.277969264,0
1047,9.3130313671,1.5672471426,-63.935822603,1
1048,-17.627190759,4.997512201,-10.031936414,5
1049,-17.94821522,5.1206710726,-10.379902722,0
1050,-18.387518984,5.2921630892,-10.511364078,0
1051,-18.846048296,5.4748254793,-10.380351298,0
1052,-19.165196308,5.6041869089,-10.03215521,0
1053,-19.281728358,5.6518762507,-9.5592560537,5
1054,-19.165516648,5.6043176745,-9.0862558378,5
1055,-18.846550651,5.4750276636,-8.7377732905,0
1056,-18.387460621,5.2921400782,-8.6064428947,0
1057,-17.948190826,5.1206616449,-8.737918863,0
1058,-17.627127036,4.997487935,-9.085988979,0
1059,-19.968637723,5.9379891241,-12.541382008,0
1060,-20.246900994,6.056335962,-12.882760776,0
1061,-20.638291082,6.2252038616,-13.044505664,0
1062,-21.053321035,6.4073673527,-12.98943501,0
1063,-21.396120361,6.5602464984,-12.730479464,0
1064,-21.589331731,6.64738465,-12.327118732,0
1065,-21.589535655,6.6474769231,-11.871562359,0
1066,-21.396690874,6.5605027658,-11.468032873,0
1067,-21.054103228,6.4077136925,-11.208696082,0
1068,-20.639221495,6.2256086657,-11.153178048,0
1069,-20.246883216,6.0563283556,-11.315058779,0
1070,-19.968636536,5.9379886224,-11.65642665,0
1071,-17.627213869,4.9975210015,-13.84197963,0
1072,-17.948288352,5.1206993366,-14.189948831,0
1073,-18.387640223,5.2922108902,-14.321365665,0
1074,-18.845782327,5.4747184354,-14.190519671,0
1075,-19.165028195,5.6041182846,-13.842472219,0
1076,-19.281728203,5.651876187,-13.369569677,0
1077,-19.165628679,5.6043634066,-12.896467608,0
1078,-18.846701915,5.4750885443,-12.547869254,0
1079,-18.387575904,5.292185531,-12.416441377,0
1080,-17.948238069,5.1206799033,-12.547889073,0
1081,-17.627149705,4.9974965672,-12.895946575,0
1082,-19.9686985,5.938014062,-16.351527609,0
1083,-20.246860442,6.0563187407,-16.692714214,0
1084,-20.638476569,6.2252852479,-16.854451204,0
1085,-21.053365544,6.4073869387,-16.799417323,0
1086,-21.396165323,6.560267314,-16.540480786,0
1087,-21.589350551,6.6473929097,-16.137057174,0
1088,-21.589518503,6.6474692129,-15.681501315,0
1089,-21.396535407,6.5604329315,-15.277840309,0
1090,-21.053727365,6.4075472664,-15.018539847,0
1091,-20.638605585,6.2253406937,-14.96325901,0
1092,-20.247068273,6.0564075336,-15.124919821,0
1093,-19.968677828,5.9380060789,-15.466341226,0
1094,-17.624814523,4.996607364,-17.647464591,0
1095,-17.948003775,5.1205893537,-17.99976935,0
1096,-18.38257994,5.2902159835,-18.131284278,0
1097,-18.849171442,5.4760825347,-17.998364071,0
1098,-19.164306381,5.6038236437,-17.653830141,0
1099,-19.281701728,5.6518653245,-17.18631636,0
1100,-19.171056393,5.6065793294,-16.716881812,0
1101,-18.845320635,5.4745326229,-16.356994574,0
1102,-18.390778105,5.2934481608,-16.226405652,0
1103,-17.955170522,5.1233595841,-16.353562937,0
1104,-17.629985012,4.9985763396,-16.700681975,0
1105,-19.968367791,5.9378742511,-20.160842917,0
1106,-20.245661359,6.0558057162,-20.501812348,9
1107,-20.63635814,6.2243636257,-20.664167917,0
1108,-21.050714484,6.4062131881,-20.610511598,0
1109,-21.397868197,6.5610322356,-20.348368105,0
1110,-21.589797617,6.64759535,-19.94506075,0
